block_num, xor_spent, pswap_gross_burn, pswap_reminted_lp, pswap_reminted_parliament, pswap_net_burn
211326, 59833566295107519, 114030083661520144718, 102057152937227852562, 11403008366152014471, 569922358140277685
211600, 124347669528082046, 236611974119951098049, 211768190061304472656, 23661197411995109804, 1182586646651515589
211849, 4291083778118941, 8196184236197429716, 7335601283765171990, 819618423619742971, 40964528812514755
211912, 22276187174973166, 42547410550803820118, 38080017537790520613, 4254741055080382011, 212651957932917494
212459, 27923124744426020, 53324977153230464304, 47725961202095572013, 5332497715323046430, 266518235811845861
212989, 1578928192897, 3012811592175695, 2696472400620431, 301281159217569, 15058032337695
213389, 885415685327025, 1685644372365505487, 1508655084555872141, 168564437236550548, 8424850573082798
213418, 28455974183451393, 54179346619272086072, 48490623582941755578, 5417934661927208607, 270788374403121887
213453, 2016967487433723, 3830976839075279395, 3428731932926053209, 383097683907527939, 19147222241698247
213646, 4556026047694081, 8651982741664583960, 7743541857755285973, 865198274166458396, 43242609742839591
213810, 5727460501896419, 10906700503601318085, 9761518764124186888, 1090670050360131808, 54511689116999389
214180, 6946220724282674, 13136784420614769171, 11757448330019059637, 1313678442061476917, 65657648534232617
214185, 4885087253875395, 9238738352765071974, 8268689303201444946, 923873835276507197, 46175214287119831
214201, 9065355819367800, 17144507721941963422, 15344368700153501146, 1714450772194196342, 85688249594265934
214213, 3830065118925612, 7243461528192616923, 6482912554655448531, 724346152819261692, 36202820717906700
214355, 234450537822280172, 443392833991528709497, 396837473208086178057, 44339283399152870949, 2216077384289660491
214799, 15328326233380, 29268477939952265, 26195346293213157, 2926847793995226, 146283852743882
214823, 7424716616617830, 14177027774861055226, 12688468212556194149, 1417702777486105522, 70856784818755555
216064, 1107236851500381, 2116409361094966514, 1893435052856806316, 211640936109496651, 11333372128663547
218007, 2797072779623273878, 5249819779171642240490, 4696725016337013872243, 524981977917164224049, 28112784917464144198
218059, 9346487017517651075, 17536178739951409928894, 15688654628803829135835, 1753617873995140992889, 93906237152439800170
218746, 12044544110109030907, 22680364288401628629064, 20290874508797075044848, 2268036428840162862906, 121453350764390721310
219170, 14941492548512350233, 28118426293785970309925, 25156009491604149407922, 2811842629378597030992, 150574172803223871011
220166, 1512688607112622, 2851272996361204847, 2550877129829570110, 285127299636120484, 15268566895514253
220885, 6456759683608573, 12200232856444387915, 10914877323853689426, 1220023285644438791, 65332246946259698
221324, 210000000000000, 397830689698622625, 355917237385424238, 39783068969862262, 2130383343336125
221342, 1446147760535032, 2739159490485554623, 2450575342365449015, 273915949048555462, 14668199071550146
221697, 263107821452368, 497521905487030960, 445105485134444813, 49752190548703096, 2664229803883051
222702, 86723164649055066, 161636762390233490338, 144607521288610440963, 16163676239023349033, 865564862599700342
224033, 600000000000000, 1117915722412423892, 1000137711477662972, 111791572241242389, 5986438693518531
224784, 237779469099017439, 440871544714380732660, 394423523120997150570, 44087154471438073266, 2360867121945508824
224812, 3298628823545479, 6115970819432304577, 5471622713751014128, 611597081943230457, 32751023738059992
225013, 82814679343956724, 153190708849937477279, 137051301719052314360, 15319070884993747727, 820336245891415192
225172, 59836185396273686, 110649979838854011813, 98992451212931547398, 11064997983885401181, 592530642037063234
225174, 3149285991454007, 5823698919992878079, 5210143120277028408, 582369891999287807, 31185907716561864
225231, 545641335953797, 1008746754020327291, 902470239750515709, 100874675402032729, 5401838867778853
225726, 23163579583580598, 42805294047694333806, 38295542293299497267, 4280529404769433380, 229222349625403159
225728, 3518498443889645, 6502029095095679883, 5817007819781874528, 650202909509567988, 34818365804237367
226000, 63458602842825358, 117295438850251372214, 104937777890183138894, 11729543885025137221, 628117075043096099
226312, 34845953000616737, 64383649463303431776, 57600510074097098721, 6438364946330343177, 344774442875989878
226859, 11416637868407809, 21068143666505064825, 18848509390520423720, 2106814366650506482, 112819909334134623
227773, 4237116204500821, 7798411647386582761, 6976809988276169334, 779841164738658276, 41760494371755151
227818, 23192247838990646, 42685163368628435671, 38188067981926586830, 4268516336862843567, 228579049839005274
228046, 10075394149177698, 18552765394970169821, 16598138796783087579, 1855276539497016982, 99350058690065260
228178, 780544466314577, 1437032831113878275, 1285634237191875629, 143703283111387827, 7695310810614819
228207, 878418723526227, 1617225605141584059, 1446842801511892470, 161722560514158405, 8660243115533184
228470, 22325456045276957, 41102303169452989128, 36771970019035269458, 4110230316945298912, 220102833472420758
228580, 5930129298513125, 10914694404793337334, 9764776775776335279, 1091469440479333733, 58448188537668322
228601, 13343092476728544, 24558684604397929543, 21971304387901585675, 2455868460439792954, 131511756056550914
228755, 175541201624436593, 322926910525246481820, 288904945866859138727, 32292691052524648182, 1729273605862694911
229199, 33069095503624491, 60721566643977894892, 54324245990201603775, 6072156664397789489, 325163989378501628
229223, 4128616309511190, 7580935797260624337, 6782246306340231259, 758093579726062433, 40595911194330645
